"模块名","显示名称","描述","驱动程序类型","启动模式","状态","状态","接受停止","接受暂停","分页缓冲池(字节)","代码(字节)","BSS(字节)","链接日期","路径","Init(字节)"
"1394ohci","1394 OHCI Compliant Host Controller","1394 OHCI Compliant Host Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","229,376","0","","C:\Windows\system32\drivers\1394ohci.sys","4,096"
"3ware","3ware","3ware","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","81,920","0","2015/5/19 6:28:03","C:\Windows\system32\drivers\3ware.sys","4,096"
"ACPI","Microsoft ACPI Driver","Microsoft ACPI Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","176,128","442,368","0","","C:\Windows\system32\drivers\ACPI.sys","24,576"
"AcpiDev","ACPI 设备驱动程序","ACPI 设备驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","8,192","0","","C:\Windows\system32\drivers\AcpiDev.sys","4,096"
"acpiex","Microsoft ACPIEx Driver","Microsoft ACPIEx Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","40,960","65,536","0","","C:\Windows\system32\Drivers\acpiex.sys","4,096"
"acpipagr","ACPI 处理器聚合器驱动程序","ACPI 处理器聚合器驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4,096","4,096","0","","C:\Windows\system32\drivers\acpipagr.sys","4,096"
"AcpiPmi","ACPI 电源表驱动程序","ACPI 电源表驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","","C:\Windows\system32\drivers\acpipmi.sys","4,096"
"acpitime","ACPI 唤醒警报驱动程序","ACPI 唤醒警报驱动程序","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8,192","4,096","0","","C:\Windows\system32\drivers\acpitime.sys","4,096"
"Acx01000","Acx01000","Acx01000","Kernel ","Manual","Stopped","OK","FALSE","FALSE","503,808","122,880","0","","C:\Windows\system32\drivers\Acx01000.sys","4,096"
"ADP80XX","ADP80XX","ADP80XX","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","1,101,824","0","2015/4/10 4:49:48","C:\Windows\system32\drivers\ADP80XX.SYS","4,096"
