"EventTime","EventType","ServiceName","ImagePath","SHA256","SignatureStatus","DriverState","SourceEventId","MatchType"
"2026/5/13 20:30:56","Service_Install","Intel(R) PRO/1000 PCI Express Network Connection Driver I","c:\windows\system32\drivers\e1i65x64.sys","A8984C47A2BD8D3375A2D2F21AD167FA2773FD957A947C4E67BFA96CAD3683EA","Valid","Installed","7045","Event_Log"
"2026/5/13 20:31:04","Service_Install","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","c:\program files (x86)\microsoft\edge\application\92.0.902.67\elevation_service.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/13 20:32:29","Service_Install","Printer Extensions and Notifications","c:\windows\system32\svchost.exe -k print","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/13 20:37:20","Service_Install","VMware VMCI Bus Driver","c:\windows\system32\drivers\vmci.sys","E9A45BDDB38925DED64B874644F58A6E8E87A10614ED7A34B9BDCCE6BD3D46C6","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:35","Service_Install","VMware Alias Manager and Ticket Service","c:\program files\vmware\vmware tools\vmware vgauth\vgauthservice.exe","B0145210B236EE2F001D5A9B14A70541740E8F6154108B1BDCF9478702AB020C","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:35","Service_Install","vSockets Virtual Machine Communication Interface Sockets driver","c:\windows\system32\drivers\vsock.sys","DFDB2166D3010A1E7CCFDC38F0B1524FDC4B79B17B06093B7F9820B637D28343","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:38","Service_Install","VMware USB Pointing Device","c:\windows\system32\drivers\vmusbmouse.sys","68A3446B27A4405CE614D902DE165C16991B4018D5D59D944D97A3CBBF886C78","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:38","Service_Install","VMware Pointing Device","c:\windows\system32\drivers\vmmouse.sys","F2ACA0CCDA94BF2AFF94168F8B7AE4E2B23345C2EC57DF6E33992A0F4734CF7C","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:38","Service_Install","Memory Control Driver","c:\windows\system32\drivers\vmmemctl.sys","7D56DB3C4794BB9B78E9DDCDCE0B2972878F0A3E17794025F5485D628A116253","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:39","Service_Install","VMware Host Guest Client Redirector","c:\windows\system32\drivers\vmhgfs.sys","F68EC54E02953A4AF4C0F1CDA713DBB77A7AE643115B067AC23B19F8F2925C01","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:39","Service_Install","VMware Physical Disk Helper","c:\windows\system32\drivers\vmrawdsk.sys","98EFA50C5CB8640A305AF785E2B21AFFBA3890AA98B79EF3EEBB8DE1626C11C7","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:41","Service_Install","vm3dmp-stats","c:\windows\system32\drivers\vm3dmp-stats.sys","4689AE8BCBB010044CBD7F4613C29A3937B933022A470BF66F321A470B37CD00","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:41","Service_Install","VMware SVGA Helper Service","c:\windows\system32\vm3dservice.exe","41DCE909CC6E2A988727A62DE830CAFB7D0D9B404E2488459D5F8DA242E3341B","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:41","Service_Install","vm3dmp","c:\windows\system32\drivers\vm3dmp.sys","BBEF23D6FFBA937FF13DDCF8E5B9F2F3F85E5EE2BA3E3C92883A71B79EA00178","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:41","Service_Install","vm3dmp-debug","c:\windows\system32\drivers\vm3dmp-debug.sys","EDA6D1B7823E0192C0DBA1E67934C1F238C061A033956640939B23C383F1CAF0","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:41","Service_Install","vm3dmp_loader","c:\windows\system32\drivers\vm3dmp_loader.sys","D0D26649251013E7AC0F92A1B06F44DE8AB3C0A6BA9F334BF6EBE9422D4DCF91","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:42","Service_Install","VMware Tools","c:\program files\vmware\vmware tools\vmtoolsd.exe","FA89670DF7E350D173A8B233D7F00BDBCF86F75041F76FB55EF29C2B996C0B43","Valid","Installed","7045","Event_Log"
"2026/5/13 20:55:44","Service_Install","VMware Snapshot Provider","c:\windows\system32\dllhost.exe \processid:{1002dd53-341b-4e39-a851-15d0faa2b0ea}","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/13 21:21:33","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.21.2.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/15 20:01:25","Service_Install","Microsoft Defender Core ??","c:\programdata\microsoft\windows defender\platform\4.18.26030.3011-0\mpdefendercoreservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/15 20:01:26","Service_Install","KslD","c:\windows\system32\drivers\wd\ksld.sys","E845E428A350EA8ADEF1B417AC2A48347771270CB060BB6C03DBEA164357CCCA","Valid","Installed","7045","Event_Log"
"2026/5/15 20:10:22","Service_Install","MpKsl06c37ad4","c:\programdata\microsoft\windows defender\definition updates\{a849b0ec-d2e3-4378-b437-1223ce1265f9}\mpksldrv.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/16 20:00:05","Service_Install","Microsoft Update Health Service","c:\program files\microsoft update health tools\uhssvc.exe","4B1BECDA7C202198BB33FE5B750C1DB5BA3B7D43554A4B557C342AC6E138A57F","Valid","Installed","7045","Event_Log"
"2026/5/17 22:18:16","Service_Install","wsftprm","c:\users\fsjdg\desktop\wsftprm.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/18 11:43:16","Service_Install","wsftprm","c:\users\fsjdg\desktop\wsftprm.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/18 12:38:00","Service_Install","wsftprm","c:\users\fsjdg\desktop\wsftprm.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/18 12:50:29","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.21.4.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/18 13:01:08","Service_Install","wsftprm","c:\users\fsjdg\desktop\wsftprm.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/18 13:10:03","Service_Install","wsftprm","c:\users\fsjdg\desktop\wsftprm.sys\wsftprm.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/21 17:47:52","Service_Install","KslD","c:\windows\system32\drivers\wd\ksld.sys","E845E428A350EA8ADEF1B417AC2A48347771270CB060BB6C03DBEA164357CCCA","Valid","Installed","7045","Event_Log"
"2026/5/24 11:54:55","Service_Install","RTCore64","c:\users\fsjdg\desktop\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 12:01:08","Service_Install","RTCore64","c:\users\fsjdg\desktop\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 12:03:58","Service_Install","RTCore64","c:\users\fsjdg\desktop\rtcore64\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 13:10:40","Service_Install","RTCore","c:\rtcore64\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 13:14:27","Service_Install","RTCore","c:\users\fsjdg\desktop\rtcore64\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 13:15:33","Service_Install","RTCore","c:\users\fsjdg\desktop\rtcore64\rtcore64.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/24 15:42:45","Service_Install","Visual Studio Installer Elevation Service","c:\program files (x86)\microsoft visual studio\installer\vsinstallerelevationservice.exe","2B3C3A3B3DEADE4E07E53A828A6E1544C520F7310783F0D33C53343F29D9B51F","Valid","Installed","7045","Event_Log"
"2026/5/24 15:45:41","Service_Install","Visual Studio Standard Collector Service 150","c:\program files (x86)\microsoft visual studio\shared\common\diagnosticshub.collection.service\standardcollector.service.exe","C89A275E370D2B02D340EE975A3A38EE82CE7E0648B6D91EBA61FC96BBD97337","Valid","Installed","7045","Event_Log"
"2026/5/30 12:46:30","Service_Install","BootRepair","c:\users\fsjdg\desktop\bootrepair\bootrepair.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/30 14:16:51","Service_Install","BootRepair","c:\users\fsjdg\desktop\bootrepair\bootrepair.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/5/31 13:30:40","Service_Install","BootRepair","c:\users\fsjdg\desktop\bootrepair\bootrepair.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/6/10 20:15:48","Service_Install","KslD","c:\windows\system32\drivers\wd\ksld.sys","E845E428A350EA8ADEF1B417AC2A48347771270CB060BB6C03DBEA164357CCCA","Valid","Installed","7045","Event_Log"
"2026/6/11 13:37:02","Service_Install","Leviathan","c:\users\fsjdg\desktop\rwdriver\rwdriver.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/6/12 18:05:49","Service_Install","rwdriver","c:\users\fsjdg\desktop\rwdriver\rwdriver.sys","N/A","Unknown","Installed","7045","Event_Log"
"2026/7/13 16:31:59","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.22.1.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/7/20 10:31:58","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.22.2.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/7/9 10:07:13","Service_Install","Microsoft WdAiNisDrv ????","c:\windows\system32\drivers\wd\wdainisdrv.sys","8E3056B2DB787CA5B13E734543F4C48D15478AB2FE3D727111217B5A047E2655","Valid","Installed","7045","Event_Log"
"2026/8/13 15:58:45","Service_Install","KslD","c:\windows\system32\drivers\wd\ksld.sys","E845E428A350EA8ADEF1B417AC2A48347771270CB060BB6C03DBEA164357CCCA","Valid","Installed","7045","Event_Log"
"2026/8/13 16:00:45","Service_Install","LECOMAx64","c:\users\fsjdg\desktop\lecomax64\lecomax64.sys","0F2DFF4116A84241D8CAFE534B63454FB4EA26272DA8977BE03670701EC6631C","Valid","Installed","7045","Event_Log"
"2026/8/25 15:34:32","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.22.4.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","2DA8C9C927AEA28A943F51F3685F82F51A4925C7E167C9D2FF7DFC499AEC1205","Valid","Installed","7045","Event_Log"
"2026/8/3 9:32:15","Service_Install","Microsoft PC Manager Service","c:\program files\windowsapps\microsoft.microsoftpcmanager_3.22.3.0_x64__8wekyb3d8bbwe\pcmanager\mspcmanagerservice.exe","N/A","Unknown","Installed","7045","Event_Log"
"2026/9/4 8:44:05","Service_Install","Sysmon64","c:\windows\sysmon64.exe","A60AA845457406383277AFDEAD35BD90C7804572B99901D239CC974841DF2528","Valid","Installed","7045","Event_Log"
"2026/9/4 8:44:05","Service_Install","SysmonDrv","c:\windows\sysmondrv.sys","32CD2906220B65177517E44BB18A4E536D4085D1FED3FF78A577A5A12466CB6A","Valid","Installed","7045","Event_Log"
"2026/9/4 8:45:55","Service_Install","KslD","c:\windows\system32\drivers\wd\ksld.sys","E845E428A350EA8ADEF1B417AC2A48347771270CB060BB6C03DBEA164357CCCA","Valid","Installed","7045","Event_Log"
